,statement,encoding
667,82-OIFP_aiP@t=914 <= 76+mkP@t=177,"[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 4]"
668,"oqupBEYVpm@t=(717,820) <= Vq_KmNS@t=18**79","[3, 1, 5, 6, 3, 1, 4, 7, 4]"
669,C_HIFZ_HJo@t=302 < BSIazX@t=742,"[3, 1, 4, 6, 3, 1, 4]"
670,"bV_MWQOMHq-43@t=(235,860) != min jGy_@t=(124,699)","[3, 7, 4, 1, 5, 6, 2, 3, 1, 5]"
671,"min WMXwm__H@t=(143,583) < 69/n__Pp@t=906","[2, 3, 1, 5, 6, 4, 7, 3, 1, 4]"
672,"min qqlJxVd@t=(95,459) < all cf@t=(377,708)","[2, 3, 1, 5, 6, 2, 3, 1, 5]"
673,"QtK_fvn@t=(16,755) == biGP@t=(842,972)*68","[3, 1, 5, 6, 3, 1, 5, 7, 4]"
674,95/VAupP@t=523 < _XLMdD_nU@t=309,"[4, 7, 3, 1, 4, 6, 3, 1, 4]"
675,"54*OU_nIO_@t=(366,740) != 84+gWXa@t=(463,517)","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
676,98+m__qrU__@t=192 >= ip___T_+32@t=37,"[4, 7, 3, 1, 4, 6, 3, 7, 4, 1, 4]"
677,81/pyH__fr@t=687 != vQ-38@t=489,"[4, 7, 3, 1, 4, 6, 3, 7, 4, 1, 4]"
678,"KwbCorI__@t=(583,726) < _@t=(334,861)","[3, 1, 5, 6, 3, 1, 5]"
679,"V@t=(275,569)**13 == 88**N_IfYnp@t=199","[3, 1, 5, 7, 4, 6, 4, 7, 3, 1, 4]"
680,89/vQVw_ey@t=858 != U-80@t=205,"[4, 7, 3, 1, 4, 6, 3, 7, 4, 1, 4]"
681,"FXZ@t=579 <= QQ*11@t=(430,937)","[3, 1, 4, 6, 3, 7, 4, 1, 5]"
682,_nk_I@t=163 > t_@t=317,"[3, 1, 4, 6, 3, 1, 4]"
683,"q_ImpaHVA@t=(854,968) > ajqmyrEY@t=(192,792)","[3, 1, 5, 6, 3, 1, 5]"
684,PL_w_Tc@t=29 != uYEQhmizw@t=736,"[3, 1, 4, 6, 3, 1, 4]"
685,"KqvK-54@t=(167,514) >= 7+wuiR_bA_@t=(132,734)","[3, 7, 4, 1, 5, 6, 4, 7, 3, 1, 5]"
686,A_NZ_gzUMc*76@t=202 < npKTIFOFj@t=319,"[3, 7, 4, 1, 4, 6, 3, 1, 4]"
687,"c@t=(783,831) > FGA_nyM@t=704/12","[3, 1, 5, 6, 3, 1, 4, 7, 4]"
688,"18/gJMYoR@t=384 != max FtjjaGAb@t=(224,262)","[4, 7, 3, 1, 4, 6, 2, 3, 1, 5]"
689,"m@t=(211,436) < 34-XhV@t=(458,604)","[3, 1, 5, 6, 4, 7, 3, 1, 5]"
690,"SViRvpHLu@t=(258,873)**53 < xFQV/83@t=963","[3, 1, 5, 7, 4, 6, 3, 7, 4, 1, 4]"
691,"x_Z@t=919-30 < IooL@t=(183,701)-4","[3, 1, 4, 7, 4, 6, 3, 1, 5, 7, 4]"
692,"snXY__FY@t=135 < max UiW_gF@t=(311,591)","[3, 1, 4, 6, 2, 3, 1, 5]"
693,"28**iBz@t=(35,715) >= __qp_JAhG@t=(235,944)","[4, 7, 3, 1, 5, 6, 3, 1, 5]"
694,"max RU@t=(214,839) > 36**_@t=(454,791)","[2, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
695,IEVWV__@t=697**88 >= 82+vov@t=793,"[3, 1, 4, 7, 4, 6, 4, 7, 3, 1, 4]"
696,_YWb_po@t=635/64 > u_@t=706,"[3, 1, 4, 7, 4, 6, 3, 1, 4]"
697,"_R@t=(330,743) == 53/_Ou__@t=(26,374)","[3, 1, 5, 6, 4, 7, 3, 1, 5]"
698,"waXA_uMsSg@t=(734,746)**31 >= klhnR-8@t=(415,992)","[3, 1, 5, 7, 4, 6, 3, 7, 4, 1, 5]"
699,"iXQzj_@t=(887,989) <= _qCHSPvLg@t=744+46","[3, 1, 5, 6, 3, 1, 4, 7, 4]"
700,_@t=955 > 0**_h@t=906,"[3, 1, 4, 6, 4, 7, 3, 1, 4]"
701,YGA@t=503 < FEi___@t=401,"[3, 1, 4, 6, 3, 1, 4]"
702,"bPgXMzN@t=989 != _O_q_D_@t=(556,637)","[3, 1, 4, 6, 3, 1, 5]"
703,"_ALnh@t=(148,935)**8 == EwA*83@t=(526,664)","[3, 1, 5, 7, 4, 6, 3, 7, 4, 1, 5]"
704,"35-hg_H__d_Fp@t=(454,513) <= 20**q_fh@t=(602,878)","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
705,"eKvzf_l_x**74@t=(34,105) > _YI_qQui@t=(271,734)/41","[3, 7, 4, 1, 5, 6, 3, 1, 5, 7, 4]"
706,"81+krU@t=(67,954) > XvvBvF@t=675/3","[4, 7, 3, 1, 5, 6, 3, 1, 4, 7, 4]"
707,"64*_Knrv@t=838 != _uIIYv*83@t=(234,626)","[4, 7, 3, 1, 4, 6, 3, 7, 4, 1, 5]"
708,"91/H_N_iepg@t=(271,507) != EabqdVX@t=717","[4, 7, 3, 1, 5, 6, 3, 1, 4]"
709,"all _lFiWJHGey@t=(472,588) != S_+17@t=543","[2, 3, 1, 5, 6, 3, 7, 4, 1, 4]"
710,"72-uTobZobjK_@t=(284,333) == BG_bOR_+74@t=(242,385)","[4, 7, 3, 1, 5, 6, 3, 7, 4, 1, 5]"
711,Psk_C@t=848 == Y_@t=602,"[3, 1, 4, 6, 3, 1, 4]"
712,"85**sZnl@t=(68,746) <= 34/rD_T@t=338","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 4]"
713,"hG_k@t=(363,694)**52 > 80-McxCP@t=(168,914)","[3, 1, 5, 7, 4, 6, 4, 7, 3, 1, 5]"
714,"cx_**37@t=910 <= max iqubL__@t=(225,464)","[3, 7, 4, 1, 4, 6, 2, 3, 1, 5]"
715,Vy_@t=342 == 86**xFlExj@t=732,"[3, 1, 4, 6, 4, 7, 3, 1, 4]"
716,"sTnD_XLY_@t=(972,985)/99 != KtBIF_w@t=(180,689)","[3, 1, 5, 7, 4, 6, 3, 1, 5]"
717,"all V@t=(80,328) != _rfvyxI_+22@t=(36,648)","[2, 3, 1, 5, 6, 3, 7, 4, 1, 5]"
718,"__F_OsN_@t=(301,580)+36 == dZjox__G__@t=851","[3, 1, 5, 7, 4, 6, 3, 1, 4]"
719,"2-XQNYpZ_lM@t=172 < mean Az_RX_Us@t=(50,399)","[4, 7, 3, 1, 4, 6, 2, 3, 1, 5]"
720,"mean kv@t=(244,704) < 71-y@t=(635,637)","[2, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
721,"max _YxYXeVEE@t=(649,657) < Xm@t=(366,707)","[2, 3, 1, 5, 6, 3, 1, 5]"
722,e_Z__g*18@t=576 < 45*T_WYQxdE@t=720,"[3, 7, 4, 1, 4, 6, 4, 7, 3, 1, 4]"
723,"65**wTTjBJ_@t=280 != all _oN_XzWLBB@t=(294,641)","[4, 7, 3, 1, 4, 6, 2, 3, 1, 5]"
724,62**qm@t=482 != FTvZNGpdYp@t=714,"[4, 7, 3, 1, 4, 6, 3, 1, 4]"
725,"XpgYhp_Dbt+31@t=532 > BrA@t=(48,882)+56","[3, 7, 4, 1, 4, 6, 3, 1, 5, 7, 4]"
726,"9-MMoT@t=536 < min _@t=(240,691)","[4, 7, 3, 1, 4, 6, 2, 3, 1, 5]"
727,"PdnjBWk-81@t=(357,425) <= m-39@t=403","[3, 7, 4, 1, 5, 6, 3, 7, 4, 1, 4]"
728,"NPey_d@t=(345,448) > VXsIk@t=144*44","[3, 1, 5, 6, 3, 1, 4, 7, 4]"
729,"8-m@t=(263,381) > 8*Ixbf@t=498","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 4]"
730,sucjo@t=807 <= ZA@t=821,"[3, 1, 4, 6, 3, 1, 4]"
731,"_qS**78@t=507 >= tP_**35@t=(864,956)","[3, 7, 4, 1, 4, 6, 3, 7, 4, 1, 5]"
732,"fo@t=(127,295) < 6-XJA_QSRk_u@t=765","[3, 1, 5, 6, 4, 7, 3, 1, 4]"
733,"_VMjkRx@t=(224,308) == SG_i@t=4*68","[3, 1, 5, 6, 3, 1, 4, 7, 4]"
734,"Ic_X_h@t=790**93 > ss_M_uV@t=(301,462)","[3, 1, 4, 7, 4, 6, 3, 1, 5]"
735,tqzxpQKgl@t=462 >= ol_qf__-76@t=918,"[3, 1, 4, 6, 3, 7, 4, 1, 4]"
736,"rmI_lG@t=(698,935) > 97**__shQQdLpq@t=867","[3, 1, 5, 6, 4, 7, 3, 1, 4]"
737,"mean _SokHFLxF@t=(613,711) != t+18@t=254","[2, 3, 1, 5, 6, 3, 7, 4, 1, 4]"
738,t@t=240 < 74**yOi_yk_u@t=145,"[3, 1, 4, 6, 4, 7, 3, 1, 4]"
739,"Z_Pepb@t=(30,798) <= 90/I_Am@t=(783,970)","[3, 1, 5, 6, 4, 7, 3, 1, 5]"
740,BDD/89@t=210 < _IilbnkufR@t=321,"[3, 7, 4, 1, 4, 6, 3, 1, 4]"
741,_wf_@t=408 == 19/TfCxs@t=162,"[3, 1, 4, 6, 4, 7, 3, 1, 4]"
742,"oogBad_h_**60@t=(710,974) == jEUkTdQ@t=661","[3, 7, 4, 1, 5, 6, 3, 1, 4]"
743,"77**c@t=(264,826) == osLhynm@t=(752,836)+43","[4, 7, 3, 1, 5, 6, 3, 1, 5, 7, 4]"
744,"min _Bw@t=(468,736) < LHi@t=270","[2, 3, 1, 5, 6, 3, 1, 4]"
745,"all uih@t=(241,791) == w_btmhwCH@t=(136,859)","[2, 3, 1, 5, 6, 3, 1, 5]"
746,"all bvPdNNh@t=(216,672) >= 45*_xjDsQ@t=249","[2, 3, 1, 5, 6, 4, 7, 3, 1, 4]"
747,"71**DV_VY@t=(99,835) != BDZCT@t=(753,865)/73","[4, 7, 3, 1, 5, 6, 3, 1, 5, 7, 4]"
748,"x_SOXt_TJF@t=(218,480) <= 95+E_vly_z@t=9","[3, 1, 5, 6, 4, 7, 3, 1, 4]"
749,_bi_mp_sU-88@t=295 <= 25*dv@t=91,"[3, 7, 4, 1, 4, 6, 4, 7, 3, 1, 4]"
750,"c_o_dFj__k@t=(543,707) < 68*_KI_fNzM@t=785","[3, 1, 5, 6, 4, 7, 3, 1, 4]"
751,"84*IIK_ygDyL@t=(303,371) == gFVcls@t=821**66","[4, 7, 3, 1, 5, 6, 3, 1, 4, 7, 4]"
752,"20**jykeaxcq_W@t=(453,548) <= e_dJyCc@t=693","[4, 7, 3, 1, 5, 6, 3, 1, 4]"
753,"_k_KoCfN@t=790 != min Cpt__@t=(119,693)","[3, 1, 4, 6, 2, 3, 1, 5]"
754,"DPdJAbIv@t=(44,399)+71 == a__v_Z@t=599","[3, 1, 5, 7, 4, 6, 3, 1, 4]"
755,"V@t=(345,723) >= 65-xg@t=968","[3, 1, 5, 6, 4, 7, 3, 1, 4]"
756,"QymIg/44@t=73 != NCQbrz@t=(132,269)","[3, 7, 4, 1, 4, 6, 3, 1, 5]"
757,"42-uO@t=(387,460) > 14-gxhL@t=(563,992)","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
758,"mean lBjf@t=(549,856) >= ggs_yLSlJ@t=674/17","[2, 3, 1, 5, 6, 3, 1, 4, 7, 4]"
759,xrd@t=568 == R_NJp@t=589*33,"[3, 1, 4, 6, 3, 1, 4, 7, 4]"
760,"_cKsVcf@t=564**17 >= 84*LJ@t=(101,949)","[3, 1, 4, 7, 4, 6, 4, 7, 3, 1, 5]"
761,"max ks_L@t=(147,352) >= 55-bCJSqgx@t=(237,745)","[2, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
762,"N_iko_d+46@t=(826,880) <= 54+le@t=115","[3, 7, 4, 1, 5, 6, 4, 7, 3, 1, 4]"
763,"_UDy@t=936+5 < VCiOO**75@t=(190,614)","[3, 1, 4, 7, 4, 6, 3, 7, 4, 1, 5]"
764,"min sF_Bn@t=(191,297) > V_AcSQyq_@t=(94,766)","[2, 3, 1, 5, 6, 3, 1, 5]"
765,"OFGp@t=320 >= XZjVwF@t=(121,668)","[3, 1, 4, 6, 3, 1, 5]"
766,"mdSaB@t=(212,349)+12 <= 87*_zgX@t=399","[3, 1, 5, 7, 4, 6, 4, 7, 3, 1, 4]"
767,61**CTiT___@t=113 >= lhmjm@t=440,"[4, 7, 3, 1, 4, 6, 3, 1, 4]"
768,"all N_@t=(313,707) == aQO@t=728-8","[2, 3, 1, 5, 6, 3, 1, 4, 7, 4]"
769,"P-84@t=(743,982) != 34*xWrW@t=167","[3, 7, 4, 1, 5, 6, 4, 7, 3, 1, 4]"
770,"ECrymtIh**43@t=927 == max h@t=(615,998)","[3, 7, 4, 1, 4, 6, 2, 3, 1, 5]"
771,"yL@t=630 == 60+xA__rhR@t=(526,673)","[3, 1, 4, 6, 4, 7, 3, 1, 5]"
772,"52+L_@t=(399,849) == 60/rypLxIC@t=(136,838)","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
773,"_qr__LYix@t=(437,530)*32 > 42**Q_F@t=393","[3, 1, 5, 7, 4, 6, 4, 7, 3, 1, 4]"
774,BTevzkKuKx@t=442**80 > SEUMUfc_dt@t=833,"[3, 1, 4, 7, 4, 6, 3, 1, 4]"
775,60-LVpi@t=626 < 92/nMikrKc@t=632,"[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 4]"
776,"By_y@t=143 == 91/z_vzz@t=(233,293)","[3, 1, 4, 6, 4, 7, 3, 1, 5]"
777,"min qylhO@t=(104,501) <= EOFu_I_@t=(220,351)","[2, 3, 1, 5, 6, 3, 1, 5]"
778,_pkmdY@t=692 < VB@t=205,"[3, 1, 4, 6, 3, 1, 4]"
779,"mean a_g_@t=(486,838) >= 69+wPQ__Qc@t=751","[2, 3, 1, 5, 6, 4, 7, 3, 1, 4]"
780,"G*85@t=(144,626) == _pVpFO*13@t=(432,608)","[3, 7, 4, 1, 5, 6, 3, 7, 4, 1, 5]"
781,"34/ZkMFrhzc_@t=510 <= all owo_EM@t=(38,564)","[4, 7, 3, 1, 4, 6, 2, 3, 1, 5]"
782,"min tQQ@t=(374,870) <= DVCGIkV@t=573","[2, 3, 1, 5, 6, 3, 1, 4]"
783,23**VRFFmukG@t=737 > D_@t=125,"[4, 7, 3, 1, 4, 6, 3, 1, 4]"
784,"3-tplNcuGrHh@t=497 < min tZ@t=(59,463)","[4, 7, 3, 1, 4, 6, 2, 3, 1, 5]"
785,"57/TX_Y@t=(51,709) >= WAz@t=429","[4, 7, 3, 1, 5, 6, 3, 1, 4]"
786,"89**JEr@t=930 < _D@t=(356,901)","[4, 7, 3, 1, 4, 6, 3, 1, 5]"
787,"M_Vnt_OuDk*40@t=841 < oOFrb__sQS-24@t=(209,512)","[3, 7, 4, 1, 4, 6, 3, 7, 4, 1, 5]"
788,u_@t=701**8 >= CVFZi_d_@t=387,"[3, 1, 4, 7, 4, 6, 3, 1, 4]"
789,JfEHFOY-83@t=11 < X_RTcy*59@t=321,"[3, 7, 4, 1, 4, 6, 3, 7, 4, 1, 4]"
790,"73*R_i@t=(43,60) <= xva@t=864","[4, 7, 3, 1, 5, 6, 3, 1, 4]"
791,"61+gOkcBJ@t=344 <= 46*U@t=(307,682)","[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 5]"
792,cvSv_fkHf@t=356 != BO_yAg*61@t=654,"[3, 1, 4, 6, 3, 7, 4, 1, 4]"
793,"min nULItP_@t=(112,586) <= min tTKf_cOm@t=(118,894)","[2, 3, 1, 5, 6, 2, 3, 1, 5]"
794,"90*WD@t=(200,525) > 36+nAd_fl@t=(199,924)","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
795,jLN__@t=301 <= esr+10@t=175,"[3, 1, 4, 6, 3, 7, 4, 1, 4]"
796,"min xM_g@t=(160,926) < TF-92@t=250","[2, 3, 1, 5, 6, 3, 7, 4, 1, 4]"
797,"SMH__@t=272**12 != cfu_w*79@t=(310,926)","[3, 1, 4, 7, 4, 6, 3, 7, 4, 1, 5]"
798,"max _GjjLW@t=(599,906) < dyB@t=891-19","[2, 3, 1, 5, 6, 3, 1, 4, 7, 4]"
799,"Q_yD_@t=822 <= 64**WU@t=(320,638)","[3, 1, 4, 6, 4, 7, 3, 1, 5]"
